Document_ID,Status,In_SAP,In_PDF,Is_Duplicate,File_Path
26202193,MISSING_PDF,YES,NO,NO,
26202194,MISSING_PDF,YES,NO,NO,
26202195,MISSING_PDF,YES,NO,NO,
26202196,MISSING_PDF,YES,NO,NO,
26202197,MISSING_PDF,YES,NO,NO,
26202198,MISSING_PDF,YES,NO,NO,
26202199,MISSING_PDF,YES,NO,NO,
26202201,MISSING_PDF,YES,NO,NO,
26202203,MISSING_PDF,YES,NO,NO,
26202204,MISSING_PDF,YES,NO,NO,
26202206,MISSING_PDF,YES,NO,NO,
26202208,MISSING_PDF,YES,NO,NO,
26202209,MISSING_PDF,YES,NO,NO,
26202210,MISSING_PDF,YES,NO,NO,
26202211,MISSING_PDF,YES,NO,NO,
26202212,MISSING_PDF,YES,NO,NO,
26202213,MISSING_PDF,YES,NO,NO,
26202214,MISSING_PDF,YES,NO,NO,
26202215,MISSING_PDF,YES,NO,NO,
26202216,MISSING_PDF,YES,NO,NO,
26202217,MISSING_PDF,YES,NO,NO,
26202218,MISSING_PDF,YES,NO,NO,
26202219,MISSING_PDF,YES,NO,NO,
26202220,MISSING_PDF,YES,NO,NO,
26202221,MISSING_PDF,YES,NO,NO,
26202222,MISSING_PDF,YES,NO,NO,
26202223,MISSING_PDF,YES,NO,NO,
26202224,MISSING_PDF,YES,NO,NO,
26202225,MISSING_PDF,YES,NO,NO,
26202226,MISSING_PDF,YES,NO,NO,
26202227,MISSING_PDF,YES,NO,NO,
26202229,MISSING_PDF,YES,NO,NO,
26202230,MISSING_PDF,YES,NO,NO,
26202235,MISSING_PDF,YES,NO,NO,
26202236,MISSING_PDF,YES,NO,NO,
26202238,MISSING_PDF,YES,NO,NO,
26202240,MISSING_PDF,YES,NO,NO,
26202243,MISSING_PDF,YES,NO,NO,
26202244,MISSING_PDF,YES,NO,NO,
26202246,MISSING_PDF,YES,NO,NO,
26202248,MISSING_PDF,YES,NO,NO,
26202250,MISSING_PDF,YES,NO,NO,
26202252,MISSING_PDF,YES,NO,NO,
26202253,MISSING_PDF,YES,NO,NO,
26202254,MISSING_PDF,YES,NO,NO,
26202255,MISSING_PDF,YES,NO,NO,
26202256,MISSING_PDF,YES,NO,NO,
26202258,MISSING_PDF,YES,NO,NO,
26202259,MISSING_PDF,YES,NO,NO,
26202260,MISSING_PDF,YES,NO,NO,
26202261,MISSING_PDF,YES,NO,NO,
26202262,MISSING_PDF,YES,NO,NO,
26202263,MISSING_PDF,YES,NO,NO,
26202266,MISSING_PDF,YES,NO,NO,
26202267,MISSING_PDF,YES,NO,NO,
26202268,MISSING_PDF,YES,NO,NO,
26202269,MISSING_PDF,YES,NO,NO,
26202270,MISSING_PDF,YES,NO,NO,
26202278,MISSING_PDF,YES,NO,NO,
26202281,MISSING_PDF,YES,NO,NO,
26202282,MISSING_PDF,YES,NO,NO,
26202286,MISSING_PDF,YES,NO,NO,
26202287,MISSING_PDF,YES,NO,NO,
26202289,MISSING_PDF,YES,NO,NO,
26202290,MISSING_PDF,YES,NO,NO,
26202291,MISSING_PDF,YES,NO,NO,
26202292,MISSING_PDF,YES,NO,NO,
26202293,MISSING_PDF,YES,NO,NO,
26202294,MISSING_PDF,YES,NO,NO,
26202295,MISSING_PDF,YES,NO,NO,
26202296,MISSING_PDF,YES,NO,NO,
26202298,MISSING_PDF,YES,NO,NO,
26202299,MISSING_PDF,YES,NO,NO,
26202300,MISSING_PDF,YES,NO,NO,
26202301,MISSING_PDF,YES,NO,NO,
26202303,MISSING_PDF,YES,NO,NO,
26202304,MISSING_PDF,YES,NO,NO,
26202305,MISSING_PDF,YES,NO,NO,
26202310,MISSING_PDF,YES,NO,NO,
26202311,MISSING_PDF,YES,NO,NO,
26202314,MISSING_PDF,YES,NO,NO,
26202319,MISSING_PDF,YES,NO,NO,
26202320,MISSING_PDF,YES,NO,NO,
26202321,MISSING_PDF,YES,NO,NO,
26202322,MISSING_PDF,YES,NO,NO,
26202323,MISSING_PDF,YES,NO,NO,
26202324,MISSING_PDF,YES,NO,NO,
26202325,MISSING_PDF,YES,NO,NO,
26202327,MISSING_PDF,YES,NO,NO,
26202328,MISSING_PDF,YES,NO,NO,
26202332,MISSING_PDF,YES,NO,NO,
26202334,MISSING_PDF,YES,NO,NO,
26202335,MISSING_PDF,YES,NO,NO,
26202336,MISSING_PDF,YES,NO,NO,
26202337,MISSING_PDF,YES,NO,NO,
26202338,MISSING_PDF,YES,NO,NO,
26202342,MISSING_PDF,YES,NO,NO,
26202343,MISSING_PDF,YES,NO,NO,
26202345,MISSING_PDF,YES,NO,NO,
26202346,MISSING_PDF,YES,NO,NO,
26202348,MISSING_PDF,YES,NO,NO,
26202349,MISSING_PDF,YES,NO,NO,
26202350,MISSING_PDF,YES,NO,NO,
26202351,MISSING_PDF,YES,NO,NO,
26202352,MISSING_PDF,YES,NO,NO,
26202353,MISSING_PDF,YES,NO,NO,
26202354,MISSING_PDF,YES,NO,NO,
26202358,MISSING_PDF,YES,NO,NO,
